"_time","oracle_error_code","oracle_error_desc"
"2019-06-08T02:29:40.625-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:29:33.621-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:29:24.635-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:29:17.631-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:29:10.627-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:29:03.622-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:54.621-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:47.617-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:40.612-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:33.608-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:30.644-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:23.639-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:16.635-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:28:09.631-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-07T02:33:49.443-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-07T02:33:42.123-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:49.887-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:42.632-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:37.397-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:35.377-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:28.105-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:20.850-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:13.579-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:06.324-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:01.105-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:23:00.765-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:22:53.494-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:22:46.239-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:22:38.968-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:22:31.713-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T03:22:20.822-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-05T03:22:13.454-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-05T03:22:06.199-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:21:58.943-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:21:49.620-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
