_time,oracle_error_code,oracle_error_desc,date,time
2019-06-24T09:27:48.969-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:48
2019-06-24T09:27:41.965-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:41
2019-06-24T09:27:34.960-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:34
2019-06-24T09:27:27.956-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:27
2019-06-24T09:27:20.952-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:20
2019-06-24T09:27:13.947-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:13
2019-06-24T09:27:06.943-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:06
2019-06-24T09:25:26.042-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:25:26
2019-06-24T09:25:19.038-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:25:19
2019-06-24T09:25:12.033-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:25:12
2019-06-24T09:25:05.029-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:25:05
2019-06-24T09:24:58.024-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:24:58
2019-06-24T09:24:51.020-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:24:51
2019-06-24T09:24:44.016-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:24:44
2019-06-24T09:24:37.011-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:24:37
2019-06-24T09:15:44.180-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,09:15:44
2019-06-24T09:15:37.176-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,09:15:37
2019-06-24T09:15:30.171-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:15:30
